City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Sulecin,PL,80.31,overcast clouds,52.4443,15.1168,Hotel Kormoran Resort & SPA
558,Sardinia,GR,83.21,scattered clouds,38.8833,21.2,Oscar Hotel
559,Moose Factory,CA,71.65,scattered clouds,51.2585,-80.6094,Moosonee Lilypad
560,Tutoia,BR,87.78,few clouds,-2.7619,-42.2744,Pousada Guará's
563,Aste,IT,69.15,moderate rain,45.7906,11.0961,B&B Arlanch 8
564,Loreto,MX,73.78,scattered clouds,22.2667,-101.9667,José de Jesús Velásquez mora
567,Atherton,GB,70.75,broken clouds,53.5237,-2.4935,The Lion Inn
568,Morant Bay,JM,88.63,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
570,Japura,ID,76.98,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
571,Minsk Mazowiecki,PL,76.42,broken clouds,52.1794,21.5725,HOTEL&RESTAURANT PARTNER
573,Nea Stira,GR,83.98,few clouds,38.1833,24.2,Venus Beach Hotel
576,Kumluca,TR,75.04,clear sky,36.3703,30.2869,TurkuazKöy
578,Gimli,CA,74.05,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
580,Praia Da Vitoria,PT,70.75,overcast clouds,38.7333,-27.0667,Hotel Branco I
581,Suluq,LY,82.96,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
582,Myitkyina,MM,74.95,few clouds,25.3833,97.4,Shwe Phyu Hotel
586,Mahanoro,MG,68.56,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
589,Hope,US,78.85,overcast clouds,33.6671,-93.5916,Best Western Hope
