City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Botou,CN,2021-06-05 17:11:36,38.0667,116.5667,75.7,22,57,1.23
253,Kushima,JP,2021-06-05 17:11:37,31.4583,131.2333,60.85,95,100,5.86
254,Naron,ES,2021-06-05 17:11:37,43.5167,-8.1528,70.68,62,6,14.7
255,Kirakira,SB,2021-06-05 17:08:59,-10.4544,161.9205,78.15,80,100,3.22
256,Ndele,CF,2021-06-05 17:11:38,8.4109,20.6473,74.82,83,80,5.88
257,Araouane,ML,2021-06-05 17:11:38,18.9048,-3.5265,112.89,5,12,7.02
258,Rusera,IN,2021-06-05 17:11:38,25.75,86.0333,95.88,33,4,8.3
259,Rapid Valley,US,2021-06-05 17:11:39,44.0625,-103.1463,94.03,34,1,4.61
260,Aksarayskiy,RU,2021-06-05 17:11:39,46.7924,48.0119,67.98,69,85,5.3
261,Natal,BR,2021-06-05 17:11:39,-5.795,-35.2094,86.65,62,40,14.18
262,Iralaya,HN,2021-06-05 17:11:40,15.0,-83.2333,84.0,73,52,12.75
263,Iskateley,RU,2021-06-05 17:11:40,67.6803,53.1512,47.17,69,100,14.16
264,Ostrovnoy,RU,2021-06-05 17:08:54,68.0531,39.5131,43.7,78,83,15.61
265,Victor Harbor,AU,2021-06-05 17:11:40,-35.5667,138.6167,60.01,89,28,12.24
266,Honiara,SB,2021-06-05 17:08:42,-9.4333,159.95,77.16,85,82,2.73
267,Port-Cartier,CA,2021-06-05 17:11:41,50.0334,-66.8654,52.93,99,100,2.21
268,Havre-Saint-Pierre,CA,2021-06-05 17:11:41,50.2334,-63.5986,52.16,93,90,4.61
269,Lorengau,PG,2021-06-05 17:11:42,-2.0226,147.2712,80.29,80,74,4.07
270,Khandbari,NP,2021-06-05 17:11:42,27.3747,87.2039,74.43,75,73,3.15
271,Goderich,CA,2021-06-05 17:11:43,43.7501,-81.7165,73.9,79,94,14.5
272,Nanortalik,GL,2021-06-05 17:11:43,60.1432,-45.2371,45.79,66,98,11.86
273,Chokwe,MZ,2021-06-05 17:11:44,-24.5333,32.9833,60.44,81,52,5.68
274,Margate,GB,2021-06-05 17:11:44,51.3813,1.3862,71.46,82,57,6.24
275,Vardo,NO,2021-06-05 17:11:44,70.3705,31.1107,44.58,70,40,19.57
276,Nanakuli,US,2021-06-05 17:11:45,21.3906,-158.1547,77.11,65,1,12.82
277,Touros,BR,2021-06-05 17:11:45,-5.1989,-35.4608,86.9,61,14,16.55
278,Puerto Madryn,AR,2021-06-05 17:09:02,-42.7692,-65.0385,52.84,42,0,26.04
279,Kompaniyivka,UA,2021-06-05 17:11:45,48.2511,32.208,61.05,74,77,7.78
280,Cockburn Town,TC,2021-06-05 17:11:46,21.4612,-71.1419,85.96,62,40,16.11
281,Souillac,MU,2021-06-05 17:11:46,-20.5167,57.5167,74.35,79,26,7.02
282,Kudahuvadhoo,MV,2021-06-05 17:11:47,2.6708,72.8944,83.35,76,93,14.52
283,Hami,CN,2021-06-05 17:11:47,42.8,93.45,75.51,34,100,5.97
284,Vilyuysk,RU,2021-06-05 17:11:47,63.7553,121.6247,42.87,90,99,1.39
