City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
322,Mujiayingzi,CN,42.1167,118.7833,65.82,43,99,6.33,overcast clouds
323,Northam,GB,51.0333,-4.2167,69.35,79,72,6.55,broken clouds
324,Cozumel,MX,20.5083,-86.9458,87.87,66,40,16.11,scattered clouds
325,Sabang,ID,5.8933,95.3214,83.43,74,100,23.22,overcast clouds
326,Gasa,PS,31.5,34.4667,79.92,57,0,10.74,clear sky
327,Tarbagatay,RU,51.4803,107.3602,47.73,85,100,3.33,moderate rain
328,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.08,42,93,5.95,overcast clouds
329,Westport,US,41.1415,-73.3579,94.17,51,1,1.01,clear sky
330,Epe,NG,6.5841,3.9834,83.03,72,54,9.82,light rain
331,Lensk,RU,60.7253,114.9278,49.87,89,100,9.89,overcast clouds
332,Cockburn Town,TC,21.4612,-71.1419,80.11,80,0,21.21,clear sky
333,Conde,BR,-7.2597,-34.9075,80.06,100,75,14.88,broken clouds
334,Kitgum,UG,3.2783,32.8867,75.87,60,85,1.9,overcast clouds
335,Chernyshevskiy,RU,63.0128,112.4714,42.12,83,96,9.22,light rain
336,Bambous Virieux,MU,-20.3428,57.7575,73.22,81,19,9.86,few clouds
337,Naze,JP,28.3667,129.4833,68.52,92,100,5.91,moderate rain
338,Atar,MR,20.5169,-13.0499,108.05,11,4,19.3,clear sky
339,Fukue,JP,32.6881,128.8419,68.97,81,100,6.11,overcast clouds
340,Vitim,RU,59.4511,112.5578,47.79,90,100,9.91,overcast clouds
341,Kharovsk,RU,59.9642,40.1912,73.49,51,16,3.09,few clouds
342,Saint Anthony,US,45.0205,-93.218,86.02,48,1,4.0,clear sky
343,Pasighat,IN,28.0667,95.3333,74.48,93,90,2.24,overcast clouds
344,Copiapo,CL,-27.3667,-70.3333,56.89,44,25,5.95,scattered clouds
345,Poniatowa,PL,51.1798,22.1309,76.91,57,52,7.29,broken clouds
346,Severo-Kurilsk,RU,50.6789,156.125,40.44,96,91,12.26,overcast clouds
347,Williston,US,48.147,-103.618,68.04,40,86,8.01,overcast clouds
